,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
19950413,11868,12115,11744,11929,159926
19950412,11620,12053,11497,11744,325433
19950411,12115,12424,12053,12053,254328
19950410,12856,13166,12795,12795,47678
19950408,12980,12980,12856,12856,25255
19950407,12609,13042,12609,12980,54295
19950406,13104,13227,12980,12980,84857
19950404,13289,13289,13104,13227,73435
19950403,13351,13536,13289,13351,44200
19950401,13227,13475,13227,13475,20628
19950331,13413,13536,13166,13227,18994
19950330,13598,13598,13351,13351,114933
19950329,13598,13722,13475,13475,265329
19950328,13722,13784,13475,13598,169778
19950327,13289,13722,13289,13536,230432
19950325,13598,13722,13413,13413,63614
19950324,13351,13722,13351,13598,113865
19950323,13227,13598,13227,13598,188093
19950322,13289,13413,13042,13227,123394
19950321,13660,13660,13289,13289,156140
19950320,12733,13351,12733,13351,66090
19950318,12980,12980,12733,12733,15839
19950317,12980,13227,12980,12980,36693
19950316,13227,13351,12980,12980,98059
19950315,13351,13351,13166,13166,38667
19950314,13289,13351,13166,13227,35900
19950313,13722,13907,13289,13289,125142
19950311,13413,13845,13413,13722,240107
19950310,13227,13475,13042,13289,94613
19950309,13289,13351,13104,13227,116502
19950308,13475,13475,13166,13289,69115
19950307,13289,13660,13104,13351,133846
19950306,13289,13536,13289,13289,82802
19950304,13289,13413,12980,13227,112797
19950303,12980,13166,12856,13166,154781
19950302,12053,12547,12053,12547,34072
19950228,12300,12424,11929,12053,18411
19950227,12300,12362,11868,12177,46255
19950225,12733,12733,12238,12362,28215
19950224,12547,12547,12053,12362,52548
19950223,12795,12918,12177,12547,50105
19950222,12671,12795,12547,12795,38926
19950221,13104,13104,12671,12671,24381
19950220,12671,13104,12671,12980,45672
19950218,12733,13104,12733,12795,72286
19950217,13042,13104,12795,12795,69827
19950216,13104,13104,12795,12980,33069
19950215,13845,13845,13042,13104,75473
19950214,13660,13722,13289,13598,74664
19950213,13536,13845,13536,13660,55040
19950211,14093,14093,13722,13722,43731
19950210,13784,13969,13475,13969,61479
19950209,13413,13784,13413,13722,123653
19950208,13289,13413,13289,13351,111729
19950207,13413,13413,13289,13289,65734
19950206,13536,13784,13289,13413,105048
19950204,13536,13660,13475,13475,96683
19950203,13289,13660,13227,13475,137340
19950202,13166,13784,13166,13413,119867
19950128,13104,13722,13104,13598,93286
19950127,13598,13598,13104,13104,127633
19950126,13907,14216,13475,13722,281896
19950125,13042,13598,12856,13598,77965
19950124,13475,13536,12980,12980,51448
19950123,13969,13969,13475,13598,55735
19950121,14278,14278,13969,13969,42064
19950120,14464,14464,14216,14278,101893
19950119,14031,14464,14031,14340,105420
19950118,13969,14340,13969,13969,58372
19950117,14154,14340,13969,13969,105064
19950116,14216,14278,13907,14093,119075
19950114,14587,14587,14093,14278,154522
19950113,15020,15082,14587,14587,126856
19950112,15267,15329,14896,14958,158324
19950111,15762,15823,15020,15082,181443
19950110,15762,16194,15453,15576,383271
19950109,15885,16009,15700,15762,321566
19950107,15823,15947,15638,15762,276638
19950106,16318,16318,15453,15823,771186
19950105,15514,15762,15453,15762,328685
19950104,14896,15143,14525,15143,217958
19950103,14587,14773,14525,14525,60945
19941228,14958,15143,14896,14896,372286
19941227,14834,15082,14711,14834,278547
19941226,15267,15267,14464,14834,182495
19941224,15391,15391,15020,15082,427795
19941223,14711,14834,14402,14834,1037470
19941222,14340,14525,14216,14216,158389
19941221,14093,14402,14093,14216,220385
19941220,14278,14340,14093,14093,78952
19941219,14464,14525,14216,14278,122084
19941217,14525,14649,14464,14464,70086
19941216,14587,14834,14402,14402,96052
19941215,14711,14958,14464,14464,288740
19941214,14278,14773,14278,14649,205436
19941213,14216,14278,14093,14154,71493
19941212,14216,14525,14154,14216,47193
19941210,14031,14216,13845,14216,48649
19941209,14093,14216,13969,13969,67028
19941208,14464,14587,14093,14093,150930
19941207,14278,14773,14216,14587,408138
19941206,14402,14402,14093,14154,120369
19941205,14216,14278,13907,14154,103284
19941203,14031,14278,13784,14093,64488
19941202,14031,14216,13784,14031,80294
19941201,14278,14340,13969,14154,188626
19941130,14464,14525,14093,14216,167497
19941129,14216,14464,13969,14216,335706
19941128,13784,14031,13722,13845,68889
19941126,13907,13969,13598,13660,148455
19941125,13845,13969,13660,13660,76444
19941124,14093,14093,13784,13784,56528
19941123,14340,14402,14031,14031,162433
19941122,14402,14402,14093,14216,135658
19941121,14402,14587,14216,14216,89937
19941119,14216,14525,14216,14402,91361
19941118,14587,14587,14216,14216,142987
19941117,14464,14773,14340,14525,264213
19941116,14154,14711,14031,14278,262239
19941115,14464,14587,14154,14154,155234
19941114,14278,14464,14216,14402,116890
19941112,14525,14525,14216,14216,65135
19941111,14834,14834,14402,14402,85472
19941110,15082,15082,14711,14773,148811
19941109,14773,14958,14773,14958,175020
19941108,14649,14711,14464,14711,169924
19941107,14834,15020,14587,14587,209610
19941105,15143,15267,14649,14649,160864
19941104,15823,15823,15143,15143,262822
19941103,15143,15638,14834,15514,509497
19941102,15391,15700,14958,15020,337939
19941101,15082,15576,14773,15391,776590
19941031,15267,15329,14834,14958,649765
19941029,15267,15391,14587,15143,745122
19941028,14649,14958,14031,14958,1287106
19941027,14525,14525,14216,14340,1885180
19941026,13413,13907,13351,13907,313800
19941025,13289,13536,13166,13289,145122
19941024,13351,13413,13227,13227,100809
19941022,13042,13475,12980,13104,174163
19941021,12980,13227,12856,13042,119107
19941020,13166,13289,12980,12980,73370
19941019,13598,13784,13042,13042,57240
19941018,13475,13907,13227,13598,202055
19941017,13413,13784,13289,13475,159893
19941015,13475,13598,13166,13166,81152
19941014,13289,13660,13289,13289,234978
19941013,13598,13598,13413,13475,130545
19941012,13907,14031,13598,13598,93707
19941011,13722,14031,13660,13722,166656
19941010,13784,13845,13475,13598,144653
19941008,14031,14154,13722,13722,77560
19941007,13660,14154,13598,13907,406358
19941006,13475,13722,13351,13536,250898
19941005,14340,14340,13475,13475,137551
19941004,13289,13907,13289,13907,155606
19941001,13475,13598,13289,13289,74179
19940930,13475,13722,13351,13475,63323
19940929,13413,13598,13227,13475,138440
19940928,13598,13598,13351,13351,140544
19940927,13475,13536,13351,13475,140091
19940926,13351,13598,13166,13598,181864
19940924,13475,13536,13227,13351,63145
19940923,13351,13598,13227,13475,160184
19940922,13104,13351,13104,13227,117764
19940917,12671,12980,12671,12980,35577
19940916,12671,12671,12547,12671,39718
19940915,12671,12795,12671,12671,44362
19940914,12671,12795,12547,12671,125368
19940913,13166,13166,12671,12671,122246
19940912,13536,13536,12980,13104,24462
19940910,13289,13289,12918,12918,7572
19940909,13104,13104,12918,13042,50736
19940908,12918,13104,12856,12918,83061
19940907,12980,13042,12918,12918,52289
19940906,13289,13289,13042,13042,144621
19940905,13166,13536,13166,13289,53454
19940903,13660,13660,13351,13351,15046
19940902,13104,13475,12980,13413,102556
19940901,13104,13351,12980,12980,67853
19940830,13784,13784,13351,13351,44815
19940829,13598,13660,13598,13598,109464
19940827,13907,13907,13598,13845,77981
19940826,13722,14031,13598,14031,94613
19940825,13845,13969,13475,13722,23685
19940824,13969,13969,13660,13722,47128
19940823,13969,14031,13289,13598,39913
19940822,14093,14093,13660,13907,41886
19940820,13969,14216,13969,14093,69972
19940819,13598,13845,13475,13845,209545
19940818,12980,13598,12918,13475,133457
19940817,13042,13042,12856,12980,20029
19940816,13104,13104,12918,13042,21420
19940813,12733,13042,12733,12856,15127
19940812,13042,13227,12980,12980,17392
19940811,13104,13104,12980,13042,25643
19940810,12856,12980,12856,12980,7135
19940809,12733,13042,12733,12980,20709
19940808,12671,12918,12671,12918,68160
19940806,12733,12733,12547,12547,20142
19940805,12547,13042,12547,12671,38165
19940804,12609,12795,12547,12547,60815
19940803,12856,13104,12671,12671,24138
19940802,13104,13227,12856,12980,22569
