,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20180320,113575,115847,113121,115392,33051
20180319,115392,115847,113121,113575,32766
20180316,117664,117664,115392,115392,22983
20180315,115847,117664,114484,117664,28387
20180314,114484,117209,114484,116755,31320
20180313,117209,118118,115392,116301,44452
20180312,120844,120844,117209,118118,38581
20180309,115847,118572,114938,117664,27304
20180308,114029,116301,113575,116301,36116
20180307,115392,116301,113121,113121,58699
20180306,117209,119935,115392,117209,43155
20180305,116301,118572,114484,116301,30129
20180302,116301,117209,113575,115392,49532
20180228,122661,124024,117664,117664,59495
20180227,121752,124478,121298,124024,30437
20180226,122661,124478,121298,121752,35206
20180222,121298,122661,117209,118572,52652
20180221,122661,123115,120844,122207,30409
20180220,122661,125841,122207,123115,19847
20180219,123570,124024,121298,123115,18088
20180214,122207,122661,120844,122207,20462
20180213,123115,123570,120390,122207,39669
20180212,119935,124024,118118,123115,42700
20180209,114938,120390,114938,119935,55500
20180208,118572,119935,116755,119027,44067
20180207,121752,121752,117664,118572,52282
20180206,120390,122661,113575,119481,111218
20180205,127204,129930,123570,124933,58733
20180202,125412,128015,124110,125846,49939
20180201,126279,128883,124544,126279,38040
20180131,130185,131053,124110,127147,64863
20180130,131487,136260,131487,131487,92020
20180129,131053,131921,128883,131053,35661
20180126,133223,133657,130185,131053,40149
20180125,127581,134091,127581,133223,91675
20180124,129317,129317,126713,127581,34582
20180123,125412,129751,124544,128015,60846
20180122,123676,126713,121506,125412,43504
20180119,125412,125412,123242,123676,51236
20180118,124978,124978,121940,122808,77535
20180117,125846,127581,122808,123242,56740
20180116,127147,128015,123676,127147,59791
20180115,131487,132789,124110,128015,86180
20180112,128449,133657,126279,129317,110972
20180111,128883,128883,126279,127147,39140
20180110,125412,129317,123242,128449,97842
20180109,121072,127581,121072,125846,139266
20180108,120638,121506,118902,121072,39658
20180105,116299,121506,115865,120638,40037
20180104,121072,121506,115431,115431,40492
20180103,120638,122374,118902,120638,44503
20180102,119770,123242,118034,121940,43998
20171228,118034,123676,118034,120204,43424
20171227,118902,120638,117167,118902,25972
20171226,118902,121072,117600,118902,42526
20171222,112827,119770,111091,118468,59061
20171221,113261,113261,111091,111959,32066
20171220,115431,116733,113261,113695,36516
20171219,117167,117167,113695,116299,28648
20171218,118034,118034,114997,116299,34074
20171215,117167,117600,114997,116299,47017
20171214,114129,118034,112393,116733,80915
20171213,109789,112827,109789,112827,27878
20171212,112393,112393,108921,109789,34643
20171211,107620,113695,107620,112827,36850
20171208,109789,109789,107620,108054,30689
20171207,110223,111525,107620,108488,72331
20171206,113695,114997,109355,109355,82572
20171205,118468,118468,112827,113695,61172
20171204,121072,121940,118902,119336,27830
20171201,116733,121506,116733,121072,71968
20171130,119336,119770,116299,116733,37820
20171129,115865,119336,115431,118468,47168
20171128,118902,120638,115431,116299,39472
20171127,117600,120204,116733,118902,45512
20171124,118902,120204,117167,117167,47706
20171123,115431,119336,113261,118902,82062
20171122,124110,125412,114997,115431,210983
20171121,123242,126279,119770,125412,143973
20171120,114129,124544,114129,122374,122983
20171117,116733,118034,112393,114997,74946
20171116,117600,120204,114129,118468,63247
20171115,114563,119770,111959,117600,168135
20171114,109789,115431,109789,114129,108819
20171113,111091,111091,108921,110223,55648
20171110,108921,111525,108921,111525,73288
20171109,110223,111959,108921,110223,81635
20171108,104582,109355,104148,109355,124854
20171107,105450,106752,104148,105884,68448
20171106,104148,105884,102412,105016,143193
20171103,98507,102412,97639,102412,108703
20171102,100242,100676,96771,97639,50392
20171101,96771,101110,96771,99809,51022
20171031,97205,99375,96337,97639,53329
20171030,100242,100676,96771,97639,59624
20171027,99375,100242,98073,99809,79410
20171026,101110,101978,99375,100242,64530
20171025,105016,105450,100676,102412,62465
20171024,104148,105450,102846,104148,48735
20171023,103280,105884,102412,104148,65597
20171020,103280,104582,101978,103280,68869
20171019,101544,104148,100676,102846,122354
20171018,100242,102846,99809,101544,84264
20171017,97639,100676,97205,100242,58961
20171016,99375,100676,97639,98507,44335
20171013,98073,100676,96337,98941,79765
20171012,95035,98073,94601,98073,117010
20171011,92431,96337,92431,95469,99016
20171010,94167,95035,92431,92865,36410
20170929,91997,94601,91563,94167,80282
20170928,90696,91997,89828,91563,48128
20170927,89394,91997,89394,91563,87449
20170926,89394,90262,88960,89394,53397
20170925,91130,92865,88526,89394,82407
20170922,93733,94167,90696,91563,55548
20170921,98073,98073,93299,94167,91019
20170920,94167,99375,94167,97639,165234
20170919,93299,95035,92865,94167,49806
20170918,94601,94601,92431,93733,37144
20170915,92865,94601,91997,94601,46190
20170914,92431,93299,91997,93299,44990
20170913,93299,94167,91997,93299,43038
20170912,95469,96337,92431,92865,51579
20170911,93733,95469,92865,94601,76445
20170908,92865,92865,91997,92865,48540
20170907,91563,93299,91130,91563,105597
20170906,90262,90696,88960,89828,29661
20170905,90262,90696,88960,89828,34422
20170904,88960,90696,88960,89828,46054
20170901,90696,92431,89828,91997,51888
20170831,91130,91997,89394,90262,77013
20170830,93733,94167,90262,91130,108033
20170829,93733,94167,91130,93733,61036
20170828,90696,94601,90696,93733,67606
20170825,90696,91130,89394,90262,45306
20170824,89394,91563,89394,90262,27111
20170823,90262,91130,89394,89394,31307
20170822,90262,91563,89394,90262,48681
20170821,90696,92431,89828,89828,60280
20170818,89394,92431,88960,91130,58972
20170817,91563,92431,88960,89828,74183
20170816,92865,93733,91563,91997,30898
20170814,95469,95469,91997,92865,33453
20170811,93299,94601,92865,94167,33667
20170810,91563,95469,91563,95035,59766
20170809,95469,95903,92431,92431,65983
20170808,97205,98073,95469,95903,31204
20170807,95035,97639,95035,97205,45347
20170804,96337,96771,94601,95035,35028
20170803,97639,98073,95469,96337,50873
20170802,98507,98941,97639,98073,41604
20170801,97205,99375,97205,98941,27896
20170731,99375,101110,97639,97639,45658
20170728,102846,102846,100242,100242,44327
20170727,102412,103280,100676,102846,27730
20170726,100242,102412,100242,102412,72786
20170725,99375,100676,98941,99809,43617
20170724,98507,100676,98073,99375,36009
20170721,101110,101544,98941,99375,65758
20170720,101110,101978,100242,101544,30633
20170719,100242,101544,99809,100676,39707
20170718,101978,102412,99809,100676,50243
20170717,99375,102412,99375,101110,68863
20170714,99809,101110,98941,99809,140230
20170713,105016,106318,102412,103280,56448
20170712,106318,107620,104148,105450,25775
20170711,106318,108054,106318,106752,29698
20170710,107620,109355,106318,106318,26311
20170707,105016,108488,105016,108488,47547
20170706,105016,107186,105016,105884,30968
20170705,107620,107620,105450,105450,27387
20170704,107186,108488,105884,107620,52522
20170703,106752,107186,105450,105884,33640
20170630,105450,107620,104582,105884,66273
20170629,105016,106752,103714,105450,49074
20170628,103280,104148,101544,104148,37125
20170627,103280,104582,102412,102846,34201
20170626,104148,105016,102846,103280,26445
20170623,102846,105016,102846,104148,41255
20170622,102412,104148,101978,102846,40086
20170621,101110,104582,100676,101978,47269
20170620,104582,105016,100676,101544,61129
20170619,104148,105016,103280,104148,50650
20170616,108054,108054,103280,103714,52114
20170615,108921,109355,105884,106752,36401
20170614,107620,108488,106752,108488,41545
20170613,106318,107620,105884,107186,37769
20170612,108921,108921,105016,105450,56451
20170609,108488,111525,108054,109789,71376
20170608,110223,110223,108054,108054,75792
20170607,110657,110657,108054,109355,61296
20170605,106752,110657,106318,110657,150346
20170602,105884,107186,105016,105884,44155
20170601,108054,108488,105450,105450,47341
20170531,105450,108488,104582,107186,108241
20170530,103714,105884,102846,105450,49192
20170529,104582,105016,102412,102846,45387
20170526,104582,106318,104148,104582,56386
20170525,105884,105884,104148,104582,38364
20170524,104148,107186,103714,105016,71198
20170523,101544,104148,100242,103714,84254
20170522,102846,103280,100242,101544,74519
20170519,103280,104582,101978,102846,38136
20170518,101544,104148,101110,103714,38091
20170517,103714,105450,102846,103280,49923
20170516,107620,108488,103714,104148,66737
20170515,107186,108488,105884,107620,27373
20170512,108488,108921,107620,107620,32445
20170511,107186,109355,105884,108921,67384
20170510,107186,109789,105884,106752,92507
20170508,102846,107620,102846,107186,152326
20170504,101110,102846,101110,102412,37367
20170502,100676,102412,99809,102412,38008
20170428,100676,101978,99809,101110,44701
20170427,101544,102846,100242,101544,36202
20170426,100242,102412,99809,101110,51325
20170425,101544,103714,98941,100242,81854
20170424,102412,102412,99375,99375,36934
20170421,101110,102412,100242,100676,44747
20170420,100676,101978,99809,100676,44194
20170419,101978,101978,99809,101544,40384
20170418,100676,102412,98941,101978,69086
20170417,99375,101544,99375,99809,45332
20170414,101544,103714,99809,99809,49279
