,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200317,5010,5390,5010,5310,250822
20200316,5320,6060,5260,5290,622717
20200313,5010,5450,4655,5280,473575
20200312,5750,5930,5500,5500,290880
20200311,6170,6210,5840,5910,233829
20200310,6090,6190,5850,6190,246397
20200309,6290,6530,6180,6200,304273
20200306,6460,6460,6240,6310,207952
20200305,6430,6530,6340,6470,221442
20200304,6480,6480,6200,6340,222580
20200303,6250,6550,6200,6250,541411
20200302,6090,6320,6080,6170,243790
20200228,6390,6440,6090,6190,307282
20200227,6800,6800,6300,6480,205446
20200226,6680,6840,6580,6690,175405
20200225,6200,6850,6200,6700,229387
20200224,6690,6750,6300,6330,243117
20200221,6910,6970,6720,6780,141939
20200220,7080,7120,6920,6930,121531
20200219,6970,7050,6890,7050,119282
20200218,7030,7070,6900,6940,125500
20200217,6980,7040,6900,7030,134639
20200214,7090,7130,6980,7030,129401
20200213,7190,7210,7060,7120,123051
20200212,7190,7190,6700,7110,310813
20200211,7180,7320,7140,7170,122268
20200210,7200,7230,7130,7210,101332
20200207,7250,7330,7130,7230,123643
20200206,7210,7430,7210,7250,158920
20200205,7160,7230,7110,7200,113196
20200204,6830,7160,6830,7100,164561
20200203,6680,6940,6670,6830,232119
20200131,7110,7270,6820,6890,328047
20200130,7350,7470,7070,7150,444535
20200129,7630,8220,7280,7330,1463790
20200128,7620,8210,7620,7630,2135471
20200123,7810,7810,7490,7580,233228
20200122,7650,7770,7600,7750,178492
20200121,7840,7850,7550,7600,221165
20200120,7760,7920,7690,7740,351707
20200117,7990,7990,7710,7750,327841
20200116,7780,8010,7700,7940,440137
20200115,7810,7870,7700,7720,258580
20200114,7700,7800,7600,7800,260041
20200113,7700,7810,7550,7660,237091
20200110,7460,7730,7440,7690,309428
20200109,7500,7600,7440,7440,302171
20200108,7540,7590,7180,7270,665165
20200107,7700,7910,7600,7600,411697
20200106,8050,8290,7540,7670,884761
20200103,8110,8180,7970,8020,602181
20200102,8090,8450,7970,8020,2871810
20191230,7300,7900,7280,7900,1774554
20191227,7250,7480,7070,7220,1289016
20191226,7160,7230,7040,7080,222516
20191224,7130,7330,7060,7200,331731
20191223,7040,7260,6940,7190,402818
20191220,6990,7050,6950,7000,99774
20191219,7180,7260,6910,7020,223442
20191218,7210,7240,7110,7120,189115
20191217,7320,7400,7100,7170,387985
20191216,6970,7290,6910,7290,795592
20191213,6810,6940,6810,6930,96217
20191212,6860,7020,6780,6790,189243
20191211,6970,7010,6760,6840,178694
20191210,6680,7460,6610,7000,1315112
20191209,6810,6810,6630,6710,119479
20191206,6900,6920,6760,6760,72929
20191205,7060,7150,6780,6860,330496
20191204,6850,7030,6760,6950,201399
20191203,6850,6890,6740,6820,103452
20191202,6810,6970,6770,6930,206702
20191129,6800,6930,6660,6810,176506
20191128,7080,7230,6750,6760,632787
20191127,6600,7050,6530,6920,706933
20191126,6570,6610,6490,6580,63964
20191125,6610,6650,6500,6520,84562
20191122,6600,6660,6460,6470,65628
20191121,6640,6720,6470,6560,103399
20191120,6800,6840,6610,6640,100272
20191119,6940,6960,6750,6830,55640
20191118,6970,7030,6700,6900,72340
20191115,6850,6990,6780,6870,119334
20191114,6870,6910,6800,6850,39957
20191113,6920,6950,6740,6850,84117
