,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20180724,16350,16950,16350,16700,142053
20180723,17350,17450,16300,16350,141767
20180720,17500,17750,17000,17400,84930
20180719,18100,18150,17450,17500,133881
20180718,18300,18550,17950,18050,98767
20180717,17650,18650,17650,18250,159860
20180716,18300,18300,17250,17750,217644
20180713,18350,18600,17950,18300,125048
20180712,17450,18650,17300,18100,199754
20180711,17350,17450,17050,17450,82662
20180710,17400,17650,17150,17350,114816
20180709,17250,17700,16900,17450,105044
20180706,16950,17400,16550,17100,104617
20180705,16900,17000,16350,16950,102101
20180704,16300,17200,16300,16900,131012
20180703,16850,17100,16000,16550,196194
20180702,17850,18200,16550,16750,267979
20180629,18200,18400,16950,17950,316698
20180628,18400,18750,18050,18250,131213
20180627,18350,18900,18250,18350,163819
20180626,18350,18400,17800,18200,164602
20180625,18450,18900,18000,18600,121252
20180622,18050,18600,17700,18250,162128
20180621,18850,19000,17800,17850,231232
20180620,18300,19050,18300,18700,167807
20180619,18400,19200,18050,18300,235323
20180618,18600,18800,18100,18200,288725
20180615,18950,19650,18550,18550,456715
20180614,20050,20250,18500,18500,1227067
20180612,20650,21050,20100,20350,287144
20180611,20600,21750,20450,20650,628802
20180608,21100,21200,20100,20350,363325
20180607,21250,21600,20400,21350,693441
20180605,21250,22500,20900,21400,892859
20180604,23250,23600,21350,21500,1097362
20180601,23500,23950,22250,23250,2253630
20180531,21700,27000,21050,24000,7962034
20180530,22900,24250,20600,21000,4297435
20180529,18400,23450,18400,23450,3230915
20180528,17650,18100,17600,18050,129736
20180525,18200,18800,17600,17650,349140
20180524,18650,19150,18550,18800,111208
20180523,18900,19600,18700,18750,307284
20180521,18600,19100,18250,18750,156784
20180518,18550,18650,18050,18600,161588
20180517,17450,18750,17450,18600,328982
20180516,17750,17800,17200,17400,116560
20180515,17850,18150,17750,17900,158074
20180514,18000,18150,17550,17600,167833
20180511,17600,17600,17150,17500,92024
20180510,17100,17650,17100,17250,117237
20180509,16800,17350,16550,17200,199105
20180508,17350,17800,16500,16550,165117
20180504,17500,17950,17400,17400,98717
20180503,17650,17950,17550,17600,80997
20180502,17500,18100,17450,17600,157435
20180430,17850,18050,17350,17450,244317
20180427,19100,19100,17650,17850,404009
20180426,18300,19150,18200,18850,161334
20180425,18900,18900,17950,18300,290297
20180424,19250,19300,18600,19050,169315
20180423,18400,19250,18250,19000,206084
20180420,18600,18950,18350,18650,116812
20180419,18250,18700,18150,18500,199531
20180418,19350,19350,18250,18500,342142
20180417,19100,19400,18650,19350,222546
20180416,19150,19400,18600,19100,192969
20180413,18450,19250,18250,18900,313377
20180412,18850,19350,18100,18250,314445
20180411,18600,19150,18250,18700,248470
20180410,19000,19050,17950,18550,418703
20180409,18600,19050,18400,18950,290366
20180406,18850,19300,18700,18800,231915
20180405,19100,19650,18500,18750,522315
20180404,20100,20100,18550,18850,696131
20180403,19100,20400,19050,20100,534413
20180402,19700,20550,19300,19500,733407
20180330,20000,20900,19400,19850,969966
20180329,20000,20350,18900,20100,1111236
20180328,18100,20100,17950,19650,2880955
20180327,16300,18800,16200,18200,2332598
20180326,16150,16850,15750,16500,687749
20180323,15900,17000,15700,15800,1058602
20180322,14600,17300,14500,16350,2266589
20180321,14800,14800,14450,14600,98370
20180320,14200,14750,14100,14750,115838
20180319,14750,14850,14300,14400,192828
20180316,14700,14850,14500,14850,163572
20180315,15050,15100,14200,14750,538411
20180314,15450,16200,15150,15250,497474
20180313,15400,15500,15100,15450,229097
20180312,15000,15450,14750,15350,475535
20180309,15250,15250,14450,14600,330307
20180308,14950,15350,14700,15000,419010
20180307,14900,15000,14550,14750,202182
20180306,14200,14950,14200,14850,424173
20180305,14000,14450,13900,14150,185821
20180302,13800,14150,13750,13950,139891
20180228,14350,14700,13900,13900,232181
20180227,14300,14800,14300,14350,229880
20180226,14450,14650,14150,14200,145498
20180222,14150,14200,13700,14100,139571
20180221,14250,14350,14000,14050,165899
20180220,14500,14700,14100,14200,159166
20180219,14200,14700,14150,14650,279618
20180214,14050,14250,13750,14100,140098
20180213,13950,14600,13800,14000,330422
20180212,13900,14450,13850,13900,477479
20180209,13400,13650,13200,13450,254582
20180208,13350,14100,13350,14000,455941
20180207,14200,14200,13300,13300,525077
20180206,13550,13950,13150,13800,769364
20180205,14250,14700,13900,14150,524213
20180202,15550,15900,14500,14500,1178193
20180201,15300,15800,15050,15350,1012796
20180131,15400,15650,15000,15150,742823
20180130,15400,15650,15100,15600,861340
20180129,16450,16450,15350,15600,1840442
20180126,16750,16950,16250,16600,1086524
20180125,16200,17450,15900,17000,4075436
20180124,12800,16500,12450,16500,7205199
20180123,12650,12800,12350,12700,191296
20180122,12300,12600,12000,12450,131310
20180119,12400,12650,12150,12300,115668
20180118,11900,12500,11850,12300,318959
20180117,11650,11900,11450,11850,135805
20180116,11350,11650,11300,11600,94788
20180115,11450,11550,11300,11350,118552
20180112,11750,11750,11250,11600,237715
20180111,11900,11950,11600,11800,190269
20180110,11850,12000,11700,11950,110546
20180109,11850,12000,11600,11850,135929
20180108,12150,12250,11650,11850,211440
20180105,12150,12350,12000,12100,127470
20180104,12700,12750,12100,12150,207290
20180103,12650,12850,12550,12650,132347
20180102,12250,12800,12200,12750,177334
20171228,12200,12400,12000,12250,119599
20171227,12450,12450,11900,12200,132662
20171226,12100,12550,12050,12400,104972
20171222,11750,12200,11450,12200,130128
20171221,12150,12400,11650,11650,135023
20171220,12700,12750,12150,12150,94815
20171219,12900,13000,12550,12600,95873
20171218,12500,12850,12350,12800,119067
20171215,12300,12400,12100,12350,85256
20171214,12650,12700,12200,12250,133969
20171213,12350,12750,12350,12600,71295
20171212,12500,12600,12350,12350,42558
20171211,12150,12500,12000,12500,70736
20171208,12150,12350,11950,12000,87223
20171207,12700,12700,12100,12150,96146
20171206,12650,12850,12450,12600,68558
20171205,12550,13100,12450,12600,191503
20171204,12400,12550,12350,12450,58161
20171201,12300,12400,12150,12400,61385
20171130,12500,12500,12150,12200,103556
20171129,12200,12600,12100,12600,116341
20171128,12550,12550,12000,12100,106720
20171127,12500,12700,12050,12300,140405
20171124,12950,12950,12550,12600,124361
20171123,13100,13100,12650,12850,146661
20171122,12700,13050,12500,12950,205352
20171121,12950,13050,12600,12700,173143
20171120,13050,13150,12650,12850,182098
20171117,13300,13400,12900,13050,124567
20171116,13550,13700,13200,13400,144040
20171115,13300,13900,13100,13700,345200
20171114,12500,13450,12400,13450,420543
20171113,12000,12600,11800,12450,282124
20171110,11800,11850,11600,11800,89154
20171109,11850,11950,11650,11800,99635
20171108,11800,11950,11650,11800,99618
20171107,11650,11800,11450,11750,96218
20171106,11500,11850,11350,11700,130168
20171103,11450,11500,11250,11450,44807
20171102,11500,11700,11250,11300,102798
20171101,11700,11850,11500,11550,79785
20171031,11650,11850,11550,11700,73078
20171030,11750,11750,11450,11650,74141
20171027,11600,11800,11500,11700,77663
20171026,11350,11600,11350,11500,55330
20171025,11400,11500,11250,11450,50146
20171024,11300,11450,11100,11300,74565
20171023,11600,11800,11150,11250,100066
20171020,11750,11800,11250,11600,155806
20171019,11250,12000,11050,11500,318196
20171018,10650,11600,10600,11400,285519
20171017,10700,10850,10600,10600,59849
20171016,10450,10850,10450,10750,91608
20171013,10550,10650,10350,10400,98303
20171012,10650,10650,10450,10600,69862
