,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20170104,4686,5107,4686,4780,277337
20170103,4660,4772,4609,4729,32177
20170102,4626,4643,4488,4634,28743
20161229,4669,4737,4617,4626,43196
20161228,4789,4789,4557,4686,57280
20161227,4772,4875,4677,4780,76097
20161226,4669,4909,4583,4712,130080
20161223,4419,4540,4342,4540,98328
20161222,4385,4428,4299,4402,55647
20161221,4359,4385,4299,4359,9035
20161220,4394,4428,4342,4359,41669
20161219,4256,4368,4226,4359,41365
20161216,4265,4325,4247,4256,35889
20161215,4235,4351,4213,4278,29177
20161214,4351,4419,4230,4235,63466
20161213,4385,4411,4265,4325,59649
20161212,4106,4471,3977,4342,256427
20161209,4260,4299,4204,4286,21600
20161208,4342,4359,4213,4217,29815
20161207,4127,4269,4084,4213,37722
20161206,4222,4243,4063,4127,48044
20161205,4260,4278,4196,4222,18418
20161202,4269,4342,4217,4217,21770
20161201,4342,4342,4213,4269,22061
20161130,4209,4342,4093,4295,17830
20161129,4024,4179,4007,4179,27461
20161128,4058,4058,3903,4024,59839
20161125,4114,4149,3968,4024,72087
20161124,4084,4127,3925,4110,18378
20161123,4247,4247,4084,4084,42772
20161122,4144,4278,4084,4209,24036
20161121,4144,4230,4127,4140,17367
20161118,4247,4252,4187,4243,22045
20161117,4299,4299,4200,4247,7736
20161116,4316,4316,4136,4247,18780
20161115,4196,4273,4127,4140,35452
20161114,4140,4200,4140,4196,20484
20161111,4183,4256,4110,4183,27245
20161110,4058,4235,3994,4183,32287
20161109,4428,4428,3517,3994,187666
20161108,4342,4505,4278,4299,69928
20161107,4282,4316,4239,4269,41552
20161104,4325,4385,4230,4282,84881
20161103,4308,4411,4247,4333,84822
20161102,4583,4669,4316,4368,72305
20161101,4376,4669,4299,4634,111414
20161031,4686,4798,4213,4514,240962
20161028,4712,4780,4600,4686,60234
20161027,4609,4772,4600,4737,83257
20161026,4858,4858,4600,4729,67039
20161025,4970,5073,4772,4858,78975
20161024,4978,5073,4901,4970,62784
20161021,4952,4995,4875,4978,32331
20161020,4909,4944,4823,4918,62178
20161019,5090,5116,4858,4909,105452
20161018,5202,5210,4901,5073,90010
20161017,5245,5245,5021,5150,68172
20161014,5271,5288,5142,5245,45490
20161013,5279,5314,5202,5288,46004
20161012,5245,5348,5176,5279,53654
20161011,5193,5296,5150,5245,40775
20161010,5271,5331,5176,5219,48882
20161007,5391,5391,5236,5271,59123
20161006,5314,5425,5262,5331,159100
20161005,5176,5339,5167,5245,78654
20161004,5176,5202,5090,5176,32711
20160930,5081,5210,5081,5159,82939
20160929,5193,5245,5107,5167,67572
20160928,5236,5288,5150,5167,77697
20160927,5374,5374,5159,5228,118759
20160926,5400,5494,5262,5374,98975
20160923,5391,5434,5236,5400,148707
20160922,5202,5400,5073,5374,337009
20160921,5021,5116,4935,5116,126077
20160920,5081,5116,4935,5021,70904
20160919,5038,5081,4935,5021,75880
20160913,5056,5142,4858,4987,183716
20160912,4918,4918,4798,4875,67686
20160909,4849,4935,4755,4935,104541
